hexID,count,MAJ_CHIMN,MAJ_FOUND,MAJ_NO,MAJ_PORCH,MAJ_RFSWY,MAJ_RFTILE,MAJ_ROT,MAJ_SIDING,MAJ_WINDDO,MIN_CHIMN,MIN_FOUND,MIN_GUTTER,MIN_INSUL,MIN_MISSID,MIN_NO,MIN_PAINT,MIN_PORCH,MIN_PORJUNK,MIN_RAILS,MIN_RFSWY,MIN_RFTILE,MIN_ROT,MIN_UNFINW,MIN_WINDDO,MIN_WNDPAN,YARD_GRCOV,YARD_MAJCL,YARD_MOW,YARD_OVRGR,YARD_SATIS,YARD_VHINOP,YARD_VHPARK
42,2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,50,50,0,0,0,0,50,0,0,50,0,0
43,10,0,0,90,0,0,0,0,10,10,10,10,10,0,20,70,20,0,0,10,20,20,0,20,0,10,0,0,10,0,90,0,0
44,13,0,0,100,0,0,0,0,0,0,0,0,8,0,8,31,23,0,8,8,46,23,23,8,0,0,8,0,23,0,62,0,15
45,8,0,0,88,0,0,0,0,0,12,0,0,0,0,0,62,25,0,12,0,12,0,12,25,12,25,50,0,0,0,75,0,0
51,9,0,0,89,0,0,0,0,11,0,0,0,0,0,11,56,33,0,11,11,11,0,22,22,0,0,0,0,0,0,67,0,0
52,15,0,0,100,0,0,0,0,0,0,0,0,0,0,0,67,20,0,13,0,0,7,7,7,0,7,7,0,13,13,73,0,0
53,5,0,0,100,0,0,0,0,0,0,0,0,20,0,0,80,20,0,20,0,0,0,0,0,0,0,0,20,0,0,80,0,0
55,5,0,0,80,20,0,0,0,0,20,0,0,0,0,20,60,20,0,0,20,0,20,40,20,0,0,20,0,20,0,60,0,0
56,10,0,0,80,0,0,0,10,0,0,10,10,30,0,20,20,40,0,0,0,20,40,20,0,0,10,20,10,10,10,60,0,0
57,9,0,0,89,0,0,0,11,0,0,11,11,0,0,0,56,11,11,0,11,22,11,0,11,0,11,56,0,0,0,67,0,11
58,9,0,0,100,0,0,0,0,0,0,0,33,33,0,22,22,22,0,11,0,0,11,11,0,22,11,22,0,0,11,67,0,0
59,2,0,0,100,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0
62,6,0,0,67,0,0,17,17,0,17,17,0,0,0,17,33,50,17,17,17,17,17,33,33,0,17,50,17,0,0,50,0,0
63,8,0,0,100,0,0,0,0,0,0,12,0,0,0,0,88,12,0,0,0,0,0,0,0,0,0,0,0,12,12,88,0,0
64,4,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0
65,10,0,0,100,0,0,0,0,0,0,10,10,0,0,10,40,20,0,10,20,10,20,30,0,0,0,30,10,0,0,60,0,10
66,3,0,0,100,0,0,0,0,0,0,33,0,0,0,0,33,33,0,0,0,0,33,67,0,0,0,67,0,0,0,33,0,67
67,14,0,0,100,0,0,0,0,0,0,0,0,0,0,14,64,29,0,7,0,7,7,7,14,0,0,14,0,0,0,86,0,0
68,7,0,0,86,0,0,0,14,0,0,14,14,0,0,29,14,29,0,0,14,57,29,43,0,0,14,14,0,0,0,100,0,0
69,14,0,0,79,0,7,0,7,0,0,0,14,7,7,0,43,14,7,7,7,21,7,14,7,14,0,7,7,14,0,79,0,7
70,6,0,0,83,0,0,0,0,0,0,0,0,0,0,33,50,17,0,0,0,0,0,0,17,0,0,0,0,50,0,50,0,0
75,4,0,0,75,0,0,0,25,0,0,0,0,0,0,25,25,25,0,0,25,25,0,25,25,0,0,25,0,25,0,50,0,0
