ID,long,lat,proptype,propstatus,stories,MIN_NO,MIN_RFSWY,MIN_RFTILE,MIN_FOUND,MIN_WINDDO,MIN_WNDPAN,MIN_UNFINW,MIN_MISSID,MIN_INSUL,MIN_ROT,MIN_RAILS,MIN_PORCH,MIN_PORJUNK,MIN_CHIMN,MIN_PAINT,MIN_GUTTER,MAJ_NO,MAJ_RFSWY,MAJ_RFTILE,MAJ_FOUND,MAJ_WINDDO,MAJ_SIDING,MAJ_ROT,MAJ_PORCH,MAJ_CHIMN,YARD_SATIS,YARD_MOW,YARD_OVRGR,YARD_VHINOP,YARD_VHPARK,YARD_GRCOV,YARD_MAJCL,GeneralCon,Pic1,MIN_TOTAL,MAJ_TOTAL,MnMj_total,Classify,other_tot,Landlord
sample_0825,-83.38232538,33.95419226,Single family (no garage),OCCUP,one,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Poor,http://classic.ona.io/api/v1/files/2744263?filename=communitymapuga/attachments/1477063501339.jpg,3,0,3,Substandard,1,1
sample_0826,-83.38778711,33.95453883,Single family (no garage),OCCUP,one,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Fair,http://classic.ona.io/api/v1/files/2744264?filename=communitymapuga/attachments/1477063647751.jpg,2,0,2,Substandard,0,0
sample_0827,-83.39424147,33.95471655,Duplex,Vacant1,one,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Poor,http://classic.ona.io/api/v1/files/2782705?filename=communitymapuga/attachments/1477326657810.jpg,3,0,3,Substandard,0,1
sample_0828,-83.38345625,33.95439446,Single family (no garage),OCCUP,one,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Poor,http://classic.ona.io/api/v1/files/2782706?filename=communitymapuga/attachments/1477327236289.jpg,4,0,4,Substandard,0,1
sample_0829,-83.39233122,33.95473391,Single family (no garage),OCCUP,one,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Poor,http://classic.ona.io/api/v1/files/2782707?filename=communitymapuga/attachments/1477327352274.jpg,3,0,3,Dilapidated,0,1
sample_0830,-83.3942939,33.95486383,Single family (garage),OCCUP,two,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2782708?filename=communitymapuga/attachments/1477516167320.jpg,0,0,0,Substandard,0,1
sample_0831,-83.39695473,33.95462266,Single family (garage),OCCUP,two,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2782710?filename=communitymapuga/attachments/1477517146790.jpg,0,0,0,Standard,0,1
sample_0832,-83.39617589,33.9546699,Single family (garage),OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2782711?filename=communitymapuga/attachments/1477517200151.jpg,0,0,0,Standard,0,0
sample_0833,-83.39291997,33.95457848,Single family (no garage),OCCUP,two,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2782712?filename=communitymapuga/attachments/1477517276951.jpg,0,0,0,Standard,0,0
sample_0834,-83.39339591,33.9546504,Single family (garage),OCCUP,two,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2782713?filename=communitymapuga/attachments/1477517325994.jpg,0,0,0,Standard,0,1
sample_0835,-83.38647031,33.95449978,Single family (no garage),OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2782714?filename=communitymapuga/attachments/1477517398731.jpg,0,0,0,Standard,0,1
